Banco,Agencia,Descrição
"001","0073-6 ","BARRA DO PIRAI RJ             "
"001","0100-7 ","PARANA-PR                     "
"001","0297-6 ","NSA SRA DA LAPA               "
"001","0319-0 ","BCO DO BRASIL                 "
"001","0340-9 ","CENTRO                        "
"001","0383-2 ","CAMPOS ELISEOS                "
"001","0386-7 ","BCO BRASIL                    "
"001","0663-7 ","CEAGESP                       "
"001","0715-3 ","SAO SEBASTIAO-SP              "
"001","0719-6 ","BELENZINHO                    "
"001","1173-8 ","CASA VERDE                    "
"001","1189-4 ","BCO DO BRASIL                 "
"001","1195-9 ","BCO BRASIL                    "
"001","1201-7 ","JAGUARÉ"
"001","0354-9","B.BRASIL"
"001","2621-2","B.BRASIL"
"237","0034-5","PARAPUÃ"
"356","0978","ABN"
"104","1679","CAIXA"
"001","3026-0","B.BRASIL"
"422","005","SAFRA"
"356","0681","ABN"
"237","1992-5","LUIZ GOES"
"356","0878","ABN"
"237","2621-2","AV ANGÉLICA"
"237","0026-4","R JANEIRO CTO"
"237","0496-0","ACLIMAÇÃO"
"151","0096-5","NSA CAIXA"
"409","0325","NITEROI RJ"
"001","1526-1 ","VILA OLIMPIA                  "
"001","1537-7 ","BCO BRASIL                    "
"001","1551-2 ","CERRO CORA                    "
"001","1704-3 ","CALDAS MG                     "
"001","1891-0 ","TESOURO                       "
"001","1894-5 ","BANCO BRASIL                  "
"001","2180-6 ","ITAQUAQUECETUBA               "
"001","2706-5 ","BCO BRASIL                    "
"001","2748-0 ","BCO BRASIL                    "
"033","0011   ","MARILIA - SP                  "
"033","0072   ","ARARAS-SP                     "
"033","0102   ","BANESPA                       "
"033","0112   ","SANTANA                       "
"033","0115   ","BELA VISTA                    "
"033","0118   ","PCA. DA ARVORE                "
"033","0119   ","FORUM DA LAPA                 "
"033","0121   ","CEAGESP                       "
"033","0134   ","BANESPA                       "
"033","0136   ","ILHA SOLTEIRA                 "
"033","0162   ","1o.DE MAIO-PR                 "
"033","0188   ","RUDGE RAMOS-SBC               "
"033","0201   ","U.S.P.                        "
"033","0204   ","PAMPLONA                      "
"033","0205   ","BANESPA                       "
"033","0220   ","BANESPA                       "
"033","0228   ","PARAISO                       "
"033","0235   ","HEITOR PENTEADO               "
"033","0246   ","AL. LORENA                    "
"033","0319   ","PATRIARCA                     "
"033","0389   ","BANESPA                       "
"033","0435   ","BANESPA                       "
"033","0560   ","FREGUESIA DO O                "
"033","0732   ","BANESPA                       "
"104","0251   ","MOEMA                         "
"104","0256   ","CAIXA FEDERAL                 "
"104","0270   ","TATUAPE                       "
"104","0366   ","CAIXA                         "
"104","0988   ","CX FEDERAL                    "
"104","1003   ","VITAL BRASIL                  "
"104","1087   ","CAIXA                         "
"104","4032   ","CAIXA ECO FEDERAL             "
"104","4040   ","CAIXA ECON                    "
"151","0056-6 ","PERDIZES                      "
"151","0226-7 ","NOSSA CAIXA                   "
"151","0268   ","FRANCO DA ROCHA               "
"151","0374-3 ","VILA MARIANA                  "
"151","0375-1 ","NOSSA CAIXA                   "
"151","0379-4 ","NOSSA CAIXA                   "
"151","0380-8 ","ITAIM                         "
"151","0384-1 ","PCA DA SE                     "
"151","0400-6 ","NOSSA CAIXA                   "
"151","0419-7 ","NSA CAIXA                     "
"151","0439-1 ","NOSSA CAIXA                   "
"151","3760   ","NSA CAIXA                     "
"237","0023-0 ","S JOSE RIO PRETO-SP           "
"237","0031-0 ","PRACA PANAMERICANA            "
"237","0036-1 ","PRESIDENTE PRUDENTE SP        "
"237","0045-0 ","SANTOS SP                     "
"237","0049-3 ","CURITIBA PR                   "
"237","0054-0 ","BRAS                          "
"237","0055-8 ","LAPA                          "
"237","0064-7 ","RIBEIRAO PRETO SP             "
"237","0085-0 ","PINHEIROS                     "
"237","0087-6 ","MADUREIRA RJ                  "
"237","0088-4 ","GUAIAUNA                      "
"237","0091-4 ","SANTANA                       "
"237","0093-0 ","SANTA CECILIA                 "
"237","0094-9 ","CASA VERDE                    "
"237","0095-7 ","NOVA CENTRAL                  "
"237","0096-5 ","MARECHAL DEODORO              "
"237","0098-1 ","RANGEL PESTANA                "
"237","0099-0 ","CENTRAL                       "
"237","0102-3 ","SANTA EFIGENIA                "
"237","0105-8 ","PRACA OSWALDO CRUZ            "
"237","0106-6 ","PARI                          "
"237","0107-4 ","SANTO AMARO                   "
"237","0108-2 ","VILA MARIANA                  "
"237","0109-0 ","SAO BERNARDO DO CAMPO SP      "
"237","0111-2 ","VILA ANASTACIO                "
"237","0114-7 ","BOM RETIRO                    "
"237","0115-5 ","VILA PRUDENTE                 "
"237","0117-1 ","NOSSA SRA DO O                "
"237","0120-1 ","JABAQUARA                     "
"237","0125-2 ","PAULA SOUZA                   "
"237","0126-0 ","AUGUSTA                       "
"237","0127-9 ","OSASCO                        "
"237","0128-7 ","TUCURUVI                      "
