Compactado,Cotista,Numero,Data,Cotas
"Z100030","091285","A100005","07/02/97 00:00:00",1
"Z200004","085540","A100010","02/21/99 00:00:00",1
"Z100041","085541","A100010","11/20/98 00:00:00",1
"Z100030","091285","A100701","07/02/97 00:00:00",1
"Z100043","091286","A100703","11/20/98 00:00:00",1
"Z100023","033845","A100704","05/15/97 00:00:00",1
"Z100030","091285","A100705","07/02/97 00:00:00",1
"Z100030","091285","A100707","07/02/97 00:00:00",1
"Z100028","028820","A100709","07/02/97 00:00:00",1
"Z100054","066740","A100710","12/09/99 00:00:00",1
"Z100050","006740","A100713","08/12/99 00:00:00",1
"Z100030","091285","A100716","07/02/97 00:00:00",1
"Z100028","028820","A100717","07/02/97 00:00:00",1
"Z100030","091285","A100718","07/02/97 00:00:00",1
"Z100054","066740","A100723","12/09/99 00:00:00",1
"Z100044","033841","A100725","11/20/98 00:00:00",1
"Z100044","033841","A100728","11/20/98 00:00:00",1
"Z100030","091285","A100732","07/02/97 00:00:00",1
"Z100046","066811","A100737","11/20/98 00:00:00",1
"Z100015","066741","A100738","05/04/95 00:00:00",1
"Z100054","066740","A100739","12/09/99 00:00:00",1
"Z100030","091285","A100741","07/02/97 00:00:00",1
"Z100029","036580","A100745","07/02/97 00:00:00",1
"Z100046","066811","A100749","11/20/98 00:00:00",1
"Z100027","039450","A100750","07/02/97 00:00:00",1
"Z100030","091285","A100752","07/02/97 00:00:00",1
"Z100008","019076","A100754","05/08/95 00:00:00",1
"Z100030","091285","A100755","07/02/97 00:00:00",1
"Z100046","066811","A100759","11/20/98 00:00:00",1
"Z100030","091285","A100761","07/02/97 00:00:00",1
"Z100046","066811","A100762","11/20/98 00:00:00",1
"Z100005","079511","A100763","06/01/95 00:00:00",1
"Z100013","033841","A100766","05/02/95 00:00:00",1
"Z100015","066741","A100768","05/04/95 00:00:00",1
"Z100054","066740","A100770","12/09/99 00:00:00",1
"Z100030","091285","A100772","07/02/97 00:00:00",1
"Z100009","021575","A100774","05/08/95 00:00:00",1
"Z100036","033841","A100774","05/06/98 00:00:00",1
"Z100030","091285","A100775","07/02/97 00:00:00",1
"Z100005","079511","A100778","06/01/95 00:00:00",1
"Z100027","039450","A100780","07/02/97 00:00:00",1
"Z100046","066811","A100782","11/20/98 00:00:00",1
