Ano,Mes,Valor_Sujeito,Valor_Isento
"1990","01",8.0000,0.0000
"1990","02",7.0000,0.0000
"1990","03",11.0000,0.0000
"1990","04",18.0000,0.0000
"1990","05",25.0000,0.0000
"1990","06",40.0000,0.0000
"1990","07",50.0000,0.0000
"1990","08",70.0000,0.0000
"1990","09",85.0000,0.0000
"1990","10",100.0000,0.0000
"1990","11",115.0000,0.0000
"1990","12",180.0000,0.0000
"1991","01",130.0000,0.0000
"1991","02",145.0000,0.0000
"1991","03",160.0000,0.0000
"1991","04",180.0000,0.0000
"1991","05",220.0000,0.0000
"1991","06",270.0000,0.0000
"1991","07",320.0000,0.0000
"1991","08",370.0000,0.0000
"1991","09",420.0000,0.0000
"1991","10",500.0000,0.0000
"1991","11",580.0000,0.0000
"1991","12",1000.0000,0.0000
"1992","01",850.0000,0.0000
"1992","02",950.0000,0.0000
"1992","03",1200.0000,0.0000
"1992","04",1350.0000,0.0000
"1992","05",1500.0000,0.0000
"1992","06",1381.7800,0.0000
"1992","07",1686.9400,0.0000
"1992","08",2159.5400,0.0000
"1992","09",2591.0000,0.0000
"1992","10",3393.0000,0.0000
"1992","11",4354.0000,0.0000
"1992","12",8578.0000,0.0000
"1993","01",6862.0000,0.0000
"1993","02",8770.0000,0.0000
"1993","03",11685.0000,0.0000
"1993","04",14245.0000,0.0000
"1993","05",19293.0000,0.0000
"1993","06",25640.0000,0.0000
"1993","07",34.4200,0.0000
"1993","08",46.8300,0.0000
"1993","09",62.0000,0.0000
"1993","10",83.0000,0.0000
"1993","11",120.0000,0.0000
"1993","12",250.0000,0.0000
"1994","01",169.0000,0.0000
"1994","02",306.0000,0.0000
"1994","03",468.0000,0.0000
"1994","04",620.0000,0.0000
"1994","05",883.0000,0.0000
"1994","06",0.4800,0.0000
"1994","07",0.4900,0.0000
"1994","08",0.7000,0.0000
"1994","09",0.8000,0.0000
"1994","10",0.9000,0.0000
"1994","11",1.0000,0.0000
"1994","12",1.4000,0.0000
"1995","01",1.0000,0.0000
"1995","02",1.0000,0.0000
"1995","03",1.0000,0.0000
"1995","04",1.2000,0.0000
"1995","05",1.2000,0.0000
"1995","06",1.2000,0.0000
"1995","07",1.4000,0.0000
"1995","08",1.4000,0.0000
"1995","09",1.4000,0.0000
"1995","10",1.4000,0.0000
"1995","11",1.4000,0.0000
"1995","12",2.0000,0.0000
"1996","01",1.6000,0.0000
"1996","02",1.6000,0.0000
"1996","03",1.6000,0.0000
"1996","04",1.6000,0.0000
"1996","05",1.6000,0.0000
"1996","06",1.6000,0.0000
"1996","07",1.6000,0.0000
"1996","08",1.6000,0.0000
"1996","09",1.6000,0.0000
"1996","10",1.6000,0.0000
"1996","11",1.2000,0.0000
"1996","12",1.2000,0.0000
"1997","01",1.2000,0.0000
"1997","02",1.2000,0.0000
"1997","03",0.5300,0.0000
"1997","04",1.0000,0.0000
"1997","05",1.0000,0.0000
"1997","06",1.0000,0.0000
"1997","07",1.0000,0.0000
"1997","08",1.0000,0.0000
"1997","09",1.0000,0.0000
"1997","10",1.0000,0.0000
"1997","11",1.0000,0.0000
"1997","12",1.0000,0.0000
"1998","01",1.0000,0.0000
"1998","02",1.0000,0.0000
"1998","03",1.0000,0.0000
"1998","04",1.0000,0.0000
"1998","05",1.0000,0.0000
"1998","06",1.0000,0.0000
"1998","07",1.0000,0.0000
"1998","08",1.0000,0.0000
"1998","09",1.0000,0.0000
"1998","10",1.0000,0.0000
"1998","11",1.0000,0.0000
"1998","12",1.0000,0.0000
"1999","01",1.0000,0.0000
"1999","02",1.0000,0.0000
"1999","03",1.0000,0.0000
"1999","04",1.0000,0.0000
"1999","05",1.0000,0.0000
"1999","06",1.0000,0.0000
"1999","07",1.0000,0.0000
"1999","08",1.0000,0.0000
"1999","09",1.0000,0.0000
"1999","10",1.0000,0.0000
"1999","11",1.0000,0.0000
"1999","12",1.5000,0.0000
"2000","01",1.0000,0.0000
"2000","02",1.0000,0.0000
"2000","03",1.1000,0.0000
"2000","04",1.1000,0.0000
"2000","05",1.1000,0.0000
"2000","06",1.1000,0.0000
"2000","07",1.1000,0.0000
"2000","08",1.1000,0.0000
"2000","09",1.2000,0.0000
"2000","10",1.2000,0.0000
"2000","11",1.2000,0.0000
"2000","12",2.4000,0.0000
"2001","01",1.5000,0.0000
"2001","02",1.5000,0.0000
"2001","03",1.5000,0.0000
"2001","04",1.8000,0.0000
"2001","05",1.8000,0.0000
"2001","06",1.8000,0.0000
"2001","07",2.2000,0.0000
"2001","08",2.2000,0.0000
"2001","09",2.2000,0.0000
"2001","10",2.5000,0.0000
"2001","11",2.5000,0.0000
"2001","12",4.0000,0.0000
"2002","01",2.5000,0.0000
"2002","02",2.5000,0.0000
"2002","03",2.5000,0.0000
"2002","04",2.5000,0.0000
"2002","05",2.5000,0.0000
"2002","06",2.5000,0.0000
"2002","07",2.2000,0.0000
"2002","08",2.2000,0.0000
"2002","09",2.2000,0.0000
"2002","10",2.2000,0.0000
"2002","11",2.2000,0.0000
