Cotista,Ano,Mes,Dia,Operação,Cheque,Cotas,Valor
"033840","2005","11","15","11",,3678,10298.4000
"033840","2005","11","15","51",,3678,7931.6900
"033840","2005","11","15","71",,3678,2366.7100
"033840","2005","12","15","11",,3678,18390.0000
"033840","2005","12","15","51",,3678,13798.1000
"033840","2005","12","15","71",,3678,4591.9000
"035120","2005","10","15","11",,14,35.0000
"035120","2005","10","15","51",,14,35.0000
"035120","2005","11","15","11",,14,39.2000
"035120","2005","11","15","51",,14,39.2000
"035120","2005","12","15","11",,14,70.0000
"035120","2005","12","15","51",,14,70.0000
"036580","2005","10","15","11",,259,647.5000
"036580","2005","10","15","51",,259,647.5000
"036580","2005","11","15","11",,259,725.2000
"036580","2005","11","15","51",,259,725.2000
"036580","2005","12","15","11",,259,1295.0000
"036580","2005","12","15","51",,259,1275.3500
"036580","2005","12","15","53",,259,19.6500
"037510","2005","10","15","11",,29,72.5000
"037510","2005","10","15","51",,29,72.5000
"037510","2005","11","15","11",,29,81.2000
"037510","2005","11","15","51",,29,81.2000
"037510","2005","12","15","11",,29,145.0000
"037510","2005","12","15","51",,29,145.0000
"038830","2005","10","15","11",,11,27.5000
"038830","2005","10","15","51",,11,27.5000
"038830","2005","11","15","11",,11,30.8000
"038830","2005","11","15","51",,11,30.8000
"038830","2005","12","15","11",,11,55.0000
"038830","2005","12","15","51",,11,55.0000
"039450","2005","11","15","11",,2573,7204.4000
"039450","2005","11","15","51",,2573,5688.5400
"039450","2005","11","15","71",,2573,1515.8600
"039450","2005","12","15","11",,2573,12865.0000
"039450","2005","12","15","51",,2573,9792.4700
"039450","2005","12","15","71",,2573,3072.5300
"039470","2005","10","15","11",,14,35.0000
"039470","2005","10","15","51",,14,35.0000
"039470","2005","11","15","11",,14,39.2000
"039470","2005","11","15","51",,14,39.2000
"039470","2005","12","15","11",,14,70.0000
"039470","2005","12","15","51",,14,70.0000
"039500","2005","10","15","11",,14,35.0000
"039500","2005","10","15","51",,14,35.0000
"039500","2005","11","15","11",,14,39.2000
"039500","2005","11","15","51",,14,39.2000
"039500","2005","12","15","11",,14,70.0000
"039500","2005","12","15","51",,14,70.0000
"040140","2005","10","15","11",,12,30.0000
"040140","2005","10","15","51",,12,30.0000
"040140","2005","11","15","11",,12,33.6000
"040140","2005","11","15","51",,12,33.6000
"040140","2005","12","15","11",,12,60.0000
"040140","2005","12","15","51",,12,60.0000
"041240","2005","10","15","11",,11,27.5000
"041240","2005","10","15","51",,11,27.5000
"041240","2005","11","15","11",,11,30.8000
"041240","2005","11","15","51",,11,30.8000
"041240","2005","12","15","11",,11,55.0000
"041240","2005","12","15","51",,11,55.0000
"041240","2005","01","15","11",,11,30.8000
"041985","2005","11","15","11",,3660,10248.0000
"041985","2005","11","15","51",,3660,7895.1500
"041985","2005","11","15","71",,3660,2352.8500
"041985","2005","12","15","11",,3660,18300.0000
"041985","2005","12","15","51",,3660,13732.8500
"041985","2005","12","15","71",,3660,4567.1500
"044390","2005","10","15","11",,29,72.5000
"044390","2005","10","15","51",,29,72.5000
"044390","2005","11","15","11",,29,81.2000
"044390","2005","11","15","51",,29,81.2000
"044390","2005","12","15","11",,29,145.0000
"044390","2005","12","15","51",,29,145.0000
"045620","2005","10","15","11",,14,35.0000
"045620","2005","10","15","51",,14,35.0000
"045620","2005","11","15","11",,14,39.2000
"045620","2005","11","15","51",,14,39.2000
"045620","2005","12","15","11",,14,70.0000
"045620","2005","12","15","51",,14,70.0000
"047640","2005","10","15","11",,62,155.0000
"047640","2005","10","15","51",,62,155.0000
"047640","2005","11","15","11",,62,173.6000
"047640","2005","11","15","51",,62,173.6000
"047640","2005","12","15","11",,62,310.0000
"047640","2005","12","15","51",,62,310.0000
"048130","2005","10","15","11",,13,32.5000
