Numero,Situação,Cotista,Cotas,Data_Aquis,Mes_Transf,Ano_Transf,Cotista2
"A200105","A","023460",1,"11/01/68 00:00:00","10","1985",
"A200107","A","084225",1,"11/01/68 00:00:00","10","1985",
"A200111","A","087560",1,"12/01/89 00:00:00","12","2000",
"A200112","A","079310",1,"10/01/89 00:00:00","10","1985",
"A200113","T","022155",1,"02/01/87 00:00:00","05","2006","020215"
"A200116","A","095980",1,"08/01/87 00:00:00","05","2000",
"A200122","T","092770",1,"08/01/87 00:00:00","07","2007","020340"
"A200126","A","020215",1,"10/01/87 00:00:00","09","2004",
"A200127","A","030905",1,"09/01/99 00:00:00","09","1985",
"A200128","A","087560",1,"10/01/87 00:00:00","12","2000",
"A200129","A","095960",1,"02/01/87 00:00:00","05","2000",
"A200130","A","051810",1,"02/01/87 00:00:00","10","1985",
"A200131","A","051810",1,"02/01/87 00:00:00","10","1985",
"A200132","A","085910",1,"12/01/68 00:00:00","10","1985",
"A200137","A","095840",1,"03/01/87 00:00:00","05","2000",
"A200138","A","020215",1,"03/01/87 00:00:00","08","2004",
"A200139","A","087560",1,"12/01/68 00:00:00","12","2000",
"A200140","A","095290",1,"03/01/87 00:00:00","05","2000",
"A200144","A","094090",1,"10/01/86 00:00:00","05","2000",
"A200150","A","033805",1,"12/01/68 00:00:00","10","1985",
"A200160","A","093820",1,"10/01/87 00:00:00","05","2000",
"A200165","A","025490",1,"10/01/87 00:00:00","04","2000",
"A200167","A","020215",1,"10/01/87 00:00:00","01","2004",
"A200168","A","087560",1,"10/01/87 00:00:00","12","2000",
"A200170","A","066880",1,"08/01/89 00:00:00","06","2000",
"A200171","A","017970",1,"12/01/68 00:00:00","10","1996",
"A200172","A","079310",1,"03/01/87 00:00:00","10","1985",
"A200175","A","085540",1,"10/01/87 00:00:00","05","2002",
"A200178","A","087560",1,"03/01/87 00:00:00","12","2000",
"A200184","A","061630",1,"10/01/87 00:00:00","10","1985",
"A200187","A","060410",1,"04/01/89 00:00:00","10","1985",
"A200190","A","085910",1,"12/01/68 00:00:00","10","1985",
"A200205","A","041240",1,"10/01/87 00:00:00","06","1997",
"A200206","A","091050",1,"10/01/87 00:00:00","05","2000",
"A200207","A","027050",1,"10/01/87 00:00:00","10","1985",
"A200210","T","028380",1,"10/01/87 00:00:00","07","2007","020340"
"A200211","A","028410",1,"10/01/87 00:00:00","10","1985",
"A200212","A","033805",1,"10/01/87 00:00:00","10","1985",
"A200213","A","079310",1,"10/01/87 00:00:00","10","1985",
"A200214","T","031510",1,"10/01/87 00:00:00","07","2007","020340"
"A200218","A","026170",1,"01/01/87 00:00:00","10","1985",
"A200219","A","026170",1,"01/01/87 00:00:00","10","1985",
"A200241","A","090510",1,"01/01/69 00:00:00","05","2000",
"A200242","A","088415",1,"12/01/86 00:00:00","05","2000",
"A200248","A","087560",1,"10/01/88 00:00:00","12","2000",
"A200251","A","087440",1,"08/01/87 00:00:00","05","2000",
"A200255","A","015300",1,"10/01/88 00:00:00","02","2002",
"A200260","A","070415",1,"10/01/87 00:00:00","10","1985",
"A200263","T","035650",1,"10/01/87 00:00:00","05","2006","020215"
"A200271","A","038400",1,"10/01/87 00:00:00","10","1985",
"A200273","A","086980",1,"11/01/86 00:00:00","05","2000",
"A200277","A","079310",1,"10/01/87 00:00:00","10","1985",
"A200284","A","085880",1,"11/01/86 00:00:00","05","2000",
"A000909","A","066880",1,"08/01/89 00:00:00","06","2000",
"A000910","A","066880",1,"08/01/89 00:00:00","06","2000",
"A100001","A","006980",1,"10/01/87 00:00:00","10","1985",
"A100002","A","087560",1,"10/01/87 00:00:00","12","2000",
"A100003","A","030220",1,"10/01/87 00:00:00","10","1985",
"A100004","A","019830",1,"03/01/87 00:00:00","10","1985",
"A100006","A","084290",1,"12/01/86 00:00:00","09","2000",
"A100007","A","019560",1,"04/01/68 00:00:00","03","2002",
"A100008","A","020340",1,"08/01/87 00:00:00","05","2000",
"A100009","A","020340",1,"03/01/87 00:00:00","05","2000",
"A100011","A","020340",1,"03/01/87 00:00:00","05","2000",
"A100012","A","096565",1,"04/01/68 00:00:00","10","1985",
"A100513","T","039380",1,"10/01/87 00:00:00","07","2007","020340"
"A100514","A","020340",1,"10/01/87 00:00:00","05","2000",
"A100702","A","080850",1,"10/01/87 00:00:00","10","1985",
"A100706","A","083010",1,"10/01/87 00:00:00","10","1985",
"A100708","A","066880",1,"08/01/89 00:00:00","06","2000",
"A100711","A","020215",1,"10/01/87 00:00:00","11","2003",
"A100712","A","020340",1,"10/01/87 00:00:00","05","2000",
"A100714","A","028820",1,"12/01/88 00:00:00","11","1998",
"A100715","A","020340",1,"10/01/87 00:00:00","05","2000",
"A100719","A","015300",1,"10/01/87 00:00:00","02","2002",
"A100720","A","090540",1,"10/01/87 00:00:00","10","1985",
"A100721","A","092250",1,"10/01/87 00:00:00","10","1985",
"A100722","A","094610",1,"10/01/87 00:00:00","10","1985",
"A100724","A","095410",1,"10/01/87 00:00:00","10","1985",
"A100726","A","020340",1,"10/01/87 00:00:00","05","2000",
"A100727","A","015300",1,"10/01/88 00:00:00","02","2002",
"A100729","A","087560",1,"10/01/88 00:00:00","12","2000",
"A100730","A","066880",1,"08/01/89 00:00:00","06","2000",
"A100731","T","000430",1,"10/01/87 00:00:00","08","2005","020215"
"A100733","A","025490",1,"10/01/87 00:00:00","10","1998",
"A100734","A","020215",1,"10/01/87 00:00:00","01","2003",
"A100735","A","006600",1,"10/01/87 00:00:00","10","1985",
"A100736","A","020215",1,"10/01/87 00:00:00","04","2003",
"A100740","A","008900",1,"10/01/87 00:00:00","10","1985",
"A100742","A","025490",1,"10/01/87 00:00:00","09","1998",
"A100743","A","079310",1,"09/01/88 00:00:00","10","1985",
"A100744","A","010340",1,"10/01/87 00:00:00","10","1985",
"A100746","T","012440",1,"10/01/87 00:00:00","07","2007","020340"
"A100747","A","020215",1,"10/01/87 00:00:00","04","2003",
"A100748","A","066880",1,"08/01/89 00:00:00","06","2000",
"A100751","T","020340",1,"10/01/87 00:00:00","04","2007","018780"
"A100753","A","020340",1,"10/01/87 00:00:00","05","2000",
"A100756","A","087560",1,"10/01/87 00:00:00","12","2000",
"A100757","A","079310",1,"09/01/88 00:00:00","10","1985",
"A100758","A","066880",1,"12/01/88 00:00:00","06","2000",
"A100760","A","028820",1,"10/01/87 00:00:00","11","1998",
"A100765","A","031530",1,"10/01/87 00:00:00","10","1985",
"A100767","A","025490",1,"10/01/87 00:00:00","06","1998",
"A100769","A","036180",1,"10/01/87 00:00:00","10","1985",
"A100771","A","038030",1,"10/01/87 00:00:00","10","1985",
"A100773","A","028820",1,"10/01/87 00:00:00","11","1998",
"A100776","A","040660",1,"10/01/87 00:00:00","10","1985",
"A100779","T","025140",1,"10/01/87 00:00:00","05","2006","020215"
"A100781","T","043580",1,"10/01/87 00:00:00","05","2006","056200"
"A100783","A","087560",1,"10/01/87 00:00:00","12","2000",
"A100785","A","013921",1,"10/01/87 00:00:00","10","1985",
"A100789","A","047740",1,"10/01/87 00:00:00","10","1985",
"A100790","A","079310",1,"09/01/88 00:00:00","10","1985",
